Precinct ID,County,Precinct Code,Precinct Name,Polling Location,Location Description,Address,City,Zip,Polling Location Contact Info,Authenticating Authority*,Date Authenticated*,Authority Contact Info,Address
1386884,Arapahoe,1260303104,1260303104,,,,,,,,,,2216 W Hillside Ave Englewood CO 
1386884,Arapahoe,1260303104,1260303104,,,,,,,,,,2285 W Iliff Ave Englewood CO 
1386885,Arapahoe,1260303105,1260303105,,,,,,,,,,3006 S Bannock St Englewood CO 
1386885,Arapahoe,1260303105,1260303105,,,,,,,,,,2909 S Acoma St Englewood CO 
1386886,Arapahoe,1260303106,1260303106,,,,,,,,,,801 Englewood Pkwy Englewood CO 
1386886,Arapahoe,1260303106,1260303106,,,,,,,,,,3158 S Fox St Englewood CO 
1386887,Arapahoe,1260303107,1260303107,,,,,,,,,,3227 S Sherman St Englewood CO 
1386887,Arapahoe,1260303107,1260303107,,,,,,,,,,2821 S Grant St Englewood CO 
1386888,Arapahoe,1260303108,1260303108,,,,,,,,,,1027 E Amherst Ave Englewood CO 
1386888,Arapahoe,1260303108,1260303108,,,,,,,,,,550 E Amherst Pl Englewood CO 
1386889,Arapahoe,1260303109,1260303109,,,,,,,,,,3261 S Gilpin St Englewood CO 
1386889,Arapahoe,1260303109,1260303109,,,,,,,,,,3250 S Franklin St Englewood CO 
1386890,Arapahoe,1260303110,1260303110,,,,,,,,,,3149 S University Blvd Englewood CO 
1386890,Arapahoe,1260303110,1260303110,,,,,,,,,,2232 E Dartmouth Ave Englewood CO 
1386891,Arapahoe,1260303111,1260303111,,,,,,,,,,3350 S Clarkson St Englewood CO 
1386891,Arapahoe,1260303111,1260303111,,,,,,,,,,3333 S Lincoln St Englewood CO 
1386892,Arapahoe,1260303112,1260303112,,,,,,,,,,3188 S Ogden St Englewood CO 
1386892,Arapahoe,1260303112,1260303112,,,,,,,,,,3218 S Clarkson St Englewood CO 
1386893,Arapahoe,1260303113,1260303113,,,,,,,,,,3465 S Gaylord Ct Englewood CO 
1386893,Arapahoe,1260303113,1260303113,,,,,,,,,,3435 S Columbine Cir Englewood CO 
1386894,Arapahoe,1260303114,1260303114,,,,,,,,,,1516 E Girard Pl Englewood CO 
1386894,Arapahoe,1260303114,1260303114,,,,,,,,,,1401 E Girard Pl Englewood CO 
1386895,Arapahoe,1260303115,1260303115,,,,,,,,,,3666 S Acoma St Englewood CO 
1386895,Arapahoe,1260303115,1260303115,,,,,,,,,,3640 S Fox St Englewood CO 
1386896,Arapahoe,1260303116,1260303116,,,,,,,,,,4005 S Huron St Englewood CO 
1386896,Arapahoe,1260303116,1260303116,,,,,,,,,,4480 S Bannock St Englewood CO 
1386897,Arapahoe,1260303117,1260303117,,,,,,,,,,3670 S Lincoln St Englewood CO 
1386897,Arapahoe,1260303117,1260303117,,,,,,,,,,3630 S Grant St Englewood CO 
1386898,Arapahoe,1260303118,1260303118,,,,,,,,,,3969 S Washington St Englewood CO 
1386898,Arapahoe,1260303118,1260303118,,,,,,,,,,4072 S Pearl St Englewood CO 
1386899,Arapahoe,1260303119,1260303119,,,,,,,,,,4235 S Lincoln St Englewood CO 
1386899,Arapahoe,1260303119,1260303119,,,,,,,,,,4249 S Lincoln St Englewood CO 
