Precinct ID,Address
1386884,2216 W Hillside Ave Englewood CO 
1386884,2285 W Iliff Ave Englewood CO 
1386885,3006 S Bannock St Englewood CO 
1386885,2909 S Acoma St Englewood CO 
1386886,801 Englewood Pkwy Englewood CO 
1386886,3158 S Fox St Englewood CO 
1386887,3227 S Sherman St Englewood CO 
1386887,2821 S Grant St Englewood CO 
1386888,1027 E Amherst Ave Englewood CO 
1386888,550 E Amherst Pl Englewood CO 
1386889,3261 S Gilpin St Englewood CO 
1386889,3250 S Franklin St Englewood CO 
1386890,3149 S University Blvd Englewood CO 
1386890,2232 E Dartmouth Ave Englewood CO 
1386891,3350 S Clarkson St Englewood CO 
1386891,3333 S Lincoln St Englewood CO 
1386892,3188 S Ogden St Englewood CO 
1386892,3218 S Clarkson St Englewood CO 
1386893,3465 S Gaylord Ct Englewood CO 
1386893,3435 S Columbine Cir Englewood CO 
1386894,1516 E Girard Pl Englewood CO 
1386894,1401 E Girard Pl Englewood CO 
1386895,3666 S Acoma St Englewood CO 
1386895,3640 S Fox St Englewood CO 
1386896,4005 S Huron St Englewood CO 
1386896,4480 S Bannock St Englewood CO 
1386897,3670 S Lincoln St Englewood CO 
1386897,3630 S Grant St Englewood CO 
1386898,3969 S Washington St Englewood CO 
1386898,4072 S Pearl St Englewood CO 
1386899,4235 S Lincoln St Englewood CO 
1386899,4249 S Lincoln St Englewood CO 
1386952,3795 W Monmouth Ave Littleton CO 
1386952,5286 S Newton St Littleton CO 
1386954,5327 S Perry St Littleton CO 
1386954,5533 S Lowell Blvd Littleton CO 
1386955,5617 S King St Littleton CO 
1386955,5666 S Lowell Blvd Littleton CO 
1386956,4712 W Bowles Ave Littleton CO 
1386956,5930 S Wolff Ct Littleton CO 
1386957,4328 Christensen Ln Littleton CO 
1386957,5056 Christensen Dr Littleton CO 
1386958,4991 W Quarles Dr Littleton CO 
1386958,6722 S Wolff Ct Littleton CO 
1386959,6900 S Platte Canyon Rd Littleton CO 
1386959,8 Par Cir Littleton CO 
1386960,7327 S Platte River Pkwy Littleton CO 
1386960,4681 W Hanoverian Way Littleton CO 
1386961,2135 W Chenango Ave Littleton CO 
1386961,2135 W Chenango Ave Littleton CO 
1386962,5225 S Prince St Littleton CO 
1386962,2866 W Riverwalk Cir Littleton CO 
1386964,6301 S Spotswood St Littleton CO 
1386964,5844 S Curtice St Littleton CO 
1386965,2400 W Quinn Ave Littleton CO 
1386965,2415 Park Ln Littleton CO 
1386966,6889 S Prince Way Littleton CO 
1386966,6896 S Sycamore St Littleton CO 
1386967,2208 W Ridge Rd Littleton CO 
1386967,6475 S Arapahoe Way Littleton CO 
1386968,6095 S Sterne Pkwy Littleton CO 
1386968,6382 S Spotswood St Littleton CO 
1386969,1474 W Lake Ave Littleton CO 
1386969,5829 S Datura St Littleton CO 
1386970,1151 W Ida Ave Littleton CO 
1386970,5878 S Huron St Littleton CO 
1386973,6193 S Fairfield St Littleton CO 
1386973,90 E Orchard Rd Centennial CO 
1386975,805 W Peakview Cir Littleton CO 
1386975,6310 S Greenwood St Littleton CO 
1386976,482 W Caley Ave Littleton CO 
1386976,340 W Caley Dr Littleton CO 
1386977,6653 S Buffalo Dr Littleton CO 
1386977,200 W Sterne Pkwy Littleton CO 
1386978,7667 S Datura Cir Littleton CO 
1386978,1053 W Geddes Ave Littleton CO 
1386979,7100 S Broadway Littleton CO 
1386979,7120 S Broadway Littleton CO 
1386980,4695 W Mineral Dr Littleton CO 
1386980,4610 W Mineral Dr Littleton CO 
1386981,7813 S Windermere Cir Littleton CO 
1386981,7783 S Nevada Dr Littleton CO 
1386982,7720 S Foresthill Ct Littleton CO 
1386982,1421 W Dry Creek Rd Littleton CO 
1386983,8255 S Emerson Way Centennial CO 
1386983,944 E Phillips Ln Centennial CO 
1386984,1622 W Kettle Ave Littleton CO 
1386984,721 W Mineral Ave Littleton CO 
1386985,2559 W Long Cir Littleton CO 
1386985,2002 W Nantucket Ct Littleton CO 
1386986,2901 W Long Dr Littleton CO 
1386986,2902 W Long Cir Littleton CO 
1386988,6490 S Pontiac Ct Centennial CO 
1386988,6431 S Heritage Pl E Englewood CO 
1386989,5600 E Fair Ave Centennial CO 
1386989,6166 S Ivanhoe Ct Englewood CO 
1386990,6022 S Newport St Centennial CO 
1386990,6184 S Magnolia Ct Englewood CO 
1386995,7525 E Peakview Ave Centennial CO 
1386995,6565 S Syracuse Way Englewood CO 
1386997,7575 E Davies Ct Centennial CO 
1386997,7414 E Costilla Pl Centennial CO 
1386998,8822 E Briarwood Blvd Englewood CO 
1386998,7090 S Uinta St Englewood CO 
1386999,7452 E Easter Way Centennial CO 
1386999,7510 E Easter Pl Englewood CO 
1387000,7261 S Xenia Cir Centennial CO 
1387000,8360 E Hinsdale Ave Centennial CO 
